City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
595,Lazaro Cardenas,MX,84.38,clear sky,17.96,-102.2,quinta antigua
599,Nouakchott,MR,85.93,overcast clouds,18.09,-15.98,HOTEL IMAN
606,Vaitape,PF,82.0,clear sky,-16.52,-151.75,Conrad Bora Bora Nui
621,Bequimao,BR,88.12,overcast clouds,-2.45,-44.78,Hotel e Restaurante Brisamar
622,Anori,BR,92.89,broken clouds,-3.77,-61.64,Novo Hotel 5 Irmãos
623,Iralaya,HN,80.69,overcast clouds,15.0,-83.23,Iglesia morava renovada
624,Illapel,CL,84.36,clear sky,-31.63,-71.17,Hotel Londres
632,Morant Bay,JM,82.02,scattered clouds,17.88,-76.41,Whispering Bamboo Cove Resort
634,Cabedelo,BR,88.47,few clouds,-6.98,-34.83,Hotel Pigalle
661,Mogadishu,SO,81.18,overcast clouds,2.04,45.34,Hotel Juba
673,Ixtapa,MX,90.43,few clouds,20.7,-105.2,Hotel Plaza Providencia
676,Santa Cruz Cabralia,BR,80.83,few clouds,-16.28,-39.02,Puerto Princesa Inn
677,May Pen,JM,81.61,broken clouds,17.96,-77.25,Mus Com Bac
680,Hobyo,SO,81.66,overcast clouds,5.35,48.53,Halane Hotel and Restaurent
