City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Santander Jimenez,MX,2021-11-23 22:17:02,24.2167,-98.4667,76.68,55,8,9.64,clear sky
224,Rochester,US,2021-11-23 22:14:01,43.1548,-77.6156,34.32,69,20,3.0,few clouds
225,Alofi,NU,2021-11-23 22:07:31,-19.0595,-169.9187,84.09,58,75,6.91,broken clouds
226,Lorengau,PG,2021-11-23 22:14:05,-2.0226,147.2712,80.98,82,100,11.45,overcast clouds
227,Seoul,KR,2021-11-23 22:17:03,37.5683,126.9778,36.84,74,0,6.91,clear sky
228,Scarborough,GB,2021-11-23 22:16:06,54.2797,-0.4044,44.91,89,12,6.15,few clouds
229,Wahiawa,US,2021-11-23 22:17:03,21.5028,-158.0236,84.52,60,1,10.36,clear sky
230,Kota Bahru,MY,2021-11-23 22:17:04,6.1333,102.2386,75.15,94,40,0.0,light rain
231,Broken Hill,AU,2021-11-23 22:17:04,-31.95,141.4333,73.71,53,98,7.16,overcast clouds
232,Dikson,RU,2021-11-23 22:17:04,73.5069,80.5464,1.13,94,100,12.73,overcast clouds
233,Durban,ZA,2021-11-23 22:13:30,-29.8579,31.0292,66.02,63,80,4.0,broken clouds
234,Nieves,PH,2021-11-23 22:17:05,15.3274,120.9485,73.98,89,21,2.24,few clouds
235,Lata,PT,2021-11-23 22:17:05,40.1629,-8.3327,48.81,91,95,2.55,overcast clouds
236,Thinadhoo,MV,2021-11-23 22:17:06,0.5333,72.9333,81.84,76,100,16.58,overcast clouds
237,Sangar,RU,2021-11-23 22:17:06,63.9242,127.4739,-26.93,98,98,3.42,overcast clouds
238,Port Hardy,CA,2021-11-23 22:15:05,50.6996,-127.4199,42.8,75,63,6.6,light rain
239,Nova Olinda Do Norte,BR,2021-11-23 22:17:07,-3.8881,-59.0942,80.76,75,100,2.01,overcast clouds
240,Castelnau-Le-Lez,FR,2021-11-23 22:17:07,43.6333,3.9,49.71,71,75,13.8,light rain
241,Sutysky,UA,2021-11-23 22:17:08,49.0425,28.4173,35.58,82,95,11.18,overcast clouds
242,Kruisfontein,ZA,2021-11-23 22:17:08,-34.0033,24.7314,54.88,72,75,8.19,broken clouds
243,Bonavista,CA,2021-11-23 22:17:09,48.6499,-53.1147,43.12,84,100,27.07,overcast clouds
244,Arlit,NE,2021-11-23 22:17:09,18.7369,7.3853,79.23,15,1,6.73,clear sky
245,Altay,CN,2021-11-23 22:17:09,47.8667,88.1167,29.68,93,100,5.06,snow
246,Vila Franca Do Campo,PT,2021-11-23 22:17:10,37.7167,-25.4333,66.61,88,99,14.94,overcast clouds
247,Motril,ES,2021-11-23 22:17:10,36.7507,-3.5179,49.28,60,38,12.06,scattered clouds
248,Vieux-Habitants,GP,2021-11-23 22:17:10,16.0589,-61.7659,78.37,73,13,8.48,few clouds
